电影名称,排名,导演,电影类型,国家,上映年份,片长,评分,五星,四星,三星,二星,一星,评论人数
蝙蝠侠：黑暗骑士,No.31,克里斯托弗·诺兰,剧情/动作/科幻/惊悚/犯罪,美国 / 英国,2008,上映日期:,9.2,68.20%,25.60%,5.60%,0.50%,0.20%,1160760
指环王3：王者无敌,No.32,彼得·杰克逊,剧情/动作/奇幻/冒险,美国 / 新西兰,2003,2004-03-12(中国大陆),9.3,71.20%,23.40%,4.90%,0.40%,0.20%,883477
我不是药神,No.33,文牧野,剧情/喜剧,中国大陆,2018,117分钟,9,58.70%,33.70%,6.90%,0.50%,0.20%,2293182
乱世佳人,No.34,维克多·弗莱明,剧情/爱情/历史/战争,美国,1939,1939-12-15(美国),9.3,70.80%,24.50%,4.20%,0.30%,0.20%,766350
飞屋环游记,No.35,彼特·道格特,剧情/喜剧/动画/冒险,美国,2009,2009-05-13(戛纳电影节),9.1,61.30%,32.10%,6.20%,0.30%,0.10%,1454407
让子弹飞,No.36,姜文,剧情/喜剧/动作/西部,中国大陆 / 中国香港,2010,片长:,9,61.00%,30.40%,7.60%,0.70%,0.30%,1868379
哈尔的移动城堡,No.37,宫崎骏,爱情/动画/奇幻/冒险,日本,2004,2024-04-30(中国大陆),9.1,63.80%,29.00%,6.50%,0.50%,0.20%,1241337
素媛,No.38,李濬益,剧情,韩国,2013,IMDb:,9.3,69.70%,26.30%,3.70%,0.20%,0.10%,755474
十二怒汉,No.39,西德尼·吕美特,剧情,美国,1957,IMDb:,9.4,76.00%,20.70%,3.00%,0.20%,0.10%,556911
海蒂和爷爷,No.40,阿兰·葛斯彭纳,剧情/家庭/冒险,德国 / 瑞士,2015,2015-12-10(德国),9.3,69.90%,25.40%,4.40%,0.30%,0.10%,739056
猫鼠游戏,No.41,史蒂文·斯皮尔伯格,剧情/传记/犯罪,美国 / 加拿大,2002,2002-12-25(美国),9.1,61.50%,33.20%,5.10%,0.20%,0.10%,1164163
天空之城,No.42,宫崎骏,动画/奇幻/冒险,日本,1986,1986-08-02(日本),9.2,65.00%,29.30%,5.40%,0.30%,0.10%,979720
鬼子来了,No.43,姜文,剧情/喜剧,中国大陆,2000,139分钟,9.3,71.30%,23.90%,4.30%,0.30%,0.20%,692859
摔跤吧！爸爸,No.44,涅提·蒂瓦里,剧情/家庭/传记/运动,印度,2016,2016-12-23(印度),9,59.40%,33.10%,6.90%,0.50%,0.20%,1701212
少年派的奇幻漂流,No.45,李安,剧情/奇幻/冒险,美国 / 中国台湾 / 英国 / 加拿大,2012,2012-09-28(纽约电影节),9.1,61.60%,31.30%,6.40%,0.50%,0.20%,1455503
钢琴家,No.46,罗曼·波兰斯基,剧情/音乐/传记/战争,英国 / 法国 / 波兰 / 德国 / 美国,2002,2002-09-25(法国),9.3,68.20%,27.40%,4.00%,0.20%,0.20%,724399
指环王2：双塔奇兵,No.47,彼得·杰克逊,剧情/动作/奇幻/冒险,美国 / 新西兰,2002,2003-04-25(中国大陆),9.2,67.00%,26.90%,5.60%,0.40%,0.10%,831282
死亡诗社,No.48,彼得·威尔,剧情,美国,1989,又名:,9.2,66.60%,27.10%,5.60%,0.50%,0.20%,841044
大话西游之月光宝盒,No.49,刘镇伟,喜剧/爱情/奇幻/古装,中国香港 / 中国大陆,1995,1995-01-21(中国香港),9,60.50%,31.30%,7.40%,0.60%,0.30%,1328293
何以为家,No.50,娜丁·拉巴基,剧情,黎巴嫩 / 美国 / 法国 / 塞浦路斯 / 卡塔尔 / 英国,2018,126分钟,9.1,60.10%,33.80%,5.50%,0.40%,0.20%,1136793
闻香识女人,No.51,马丁·布莱斯特,剧情,美国,1992,IMDb:,9.1,63.10%,30.00%,6.20%,0.50%,0.20%,992028
绿皮书,No.52,彼得·法雷里,剧情/喜剧/音乐/传记,美国 / 中国大陆,2018,2018-09-11(多伦多电影节),8.9,55.20%,37.20%,7.10%,0.40%,0.10%,1832655
大闹天宫,No.53,万籁鸣,剧情/动画/奇幻/古装,中国大陆,1961,1964(中国大陆),9.4,75.00%,20.70%,4.00%,0.30%,0.20%,492395
黑客帝国,No.54,莉莉·沃卓斯基,动作/科幻,美国,1999,136分钟,9.1,63.40%,29.60%,6.30%,0.50%,0.10%,920967
指环王1：护戒使者,No.55,彼得·杰克逊,剧情/动作/奇幻/冒险,新西兰 / 美国,2001,2002-04-04(中国大陆),9.1,63.80%,28.60%,6.80%,0.60%,0.20%,931557
罗马假日,No.56,威廉·惠勒,剧情/喜剧/爱情,美国,1953,片长:,9.1,60.80%,32.40%,6.40%,0.30%,0.10%,1023266
教父2,No.57,弗朗西斯·福特·科波拉,剧情/犯罪,美国,1974,202分钟,9.3,68.90%,26.00%,4.50%,0.30%,0.20%,616240
狮子王,No.58,罗杰·阿勒斯,动画/歌舞/冒险,美国,1994,2011-09-16(美国),9.1,61.60%,31.80%,6.20%,0.30%,0.10%,932489
天堂电影院,No.59,朱塞佩·托纳多雷,剧情/爱情,意大利 / 法国,1988,155分钟,9.2,66.10%,27.90%,5.50%,0.40%,0.10%,725490
饮食男女,No.60,李安,剧情/家庭,中国台湾 / 美国,1994,片长:,9.2,64.40%,30.50%,4.70%,0.30%,0.10%,697090
辩护人,No.61,杨宇硕,剧情,韩国,2013,又名:,9.2,66.40%,28.70%,4.50%,0.30%,0.10%,643878
搏击俱乐部,No.62,大卫·芬奇,剧情/动作/悬疑/惊悚,美国,1999,1999-10-15(美国),9,61.70%,29.90%,7.30%,0.80%,0.40%,937723
本杰明·巴顿奇事,No.63,大卫·芬奇,剧情/爱情/奇幻,美国,2008,166分钟,9,58.50%,33.50%,7.40%,0.50%,0.10%,1074024
美丽心灵,No.64,朗·霍华德,剧情/传记,美国,2001,135分钟,9.1,60.10%,33.40%,6.00%,0.40%,0.10%,835060
穿条纹睡衣的男孩,No.65,马克·赫尔曼,剧情/战争,英国 / 美国,2008,片长:,9.2,63.70%,31.30%,4.50%,0.30%,0.20%,624348
情书,No.66,岩井俊二,剧情/爱情,日本,1995,1995-03-25(日本),8.9,56.70%,32.70%,9.20%,1.00%,0.30%,1280215
两杆大烟枪,No.67,盖·里奇,剧情/喜剧/犯罪,英国,1998,107分钟,9.1,64.30%,29.10%,5.90%,0.50%,0.20%,657166
窃听风暴,No.68,弗洛里安·亨克尔·冯·多纳斯马尔克,剧情/悬疑,德国,2006,又名:,9.2,64.60%,29.40%,5.40%,0.40%,0.20%,617302
哈利·波特与死亡圣器(下),No.69,大卫·叶茨,奇幻/冒险,美国 / 英国,2011,片长:,9,60.00%,31.20%,8.00%,0.60%,0.20%,940054
音乐之声,No.70,罗伯特·怀斯,剧情/爱情/歌舞/传记,美国,1965,片长:,9.1,62.70%,30.80%,6.10%,0.30%,0.10%,664574
西西里的美丽传说,No.71,朱塞佩·托纳多雷,剧情/情色/战争,意大利 / 美国,2000,108分钟,8.9,55.40%,36.50%,7.40%,0.50%,0.20%,1067347
功夫,No.72,周星驰,喜剧/动作/犯罪/奇幻,中国大陆 / 中国香港,2004,2015-01-15(中国大陆3D),8.9,55.40%,33.70%,10.00%,0.80%,0.20%,1288309
阿凡达,No.73,詹姆斯·卡梅隆,动作/科幻/冒险,美国,2009,2021-03-12(中国大陆重映),8.8,54.20%,34.80%,9.90%,0.80%,0.30%,1535981
哈利·波特与阿兹卡班的囚徒,No.74,阿方索·卡隆,奇幻/冒险,英国 / 美国,2004,2004-05-31(英国),9,58.20%,33.60%,7.70%,0.40%,0.10%,857689
看不见的客人,No.75,奥里奥尔·保罗,剧情/悬疑/惊悚/犯罪,西班牙,2016,2016-09-23(奇幻电影节),8.8,48.70%,41.60%,9.10%,0.50%,0.10%,1401767
拯救大兵瑞恩,No.76,史蒂文·斯皮尔伯格,剧情/战争,美国,1998,片长:,9.1,60.40%,32.70%,6.20%,0.40%,0.20%,706094
沉默的羔羊,No.77,乔纳森·戴米,剧情/惊悚/犯罪,美国,1991,118分钟,8.9,54.80%,37.10%,7.50%,0.40%,0.10%,986334
小鞋子,No.78,马基德·马基迪,剧情/家庭/儿童,伊朗,1997,1999-01-22(美国),9.2,67.00%,28.40%,4.30%,0.20%,0.10%,450636
飞越疯人院,No.79,米洛斯·福尔曼,剧情,美国,1975,IMDb:,9.1,63.50%,29.70%,6.10%,0.60%,0.20%,589698
布达佩斯大饭店,No.80,韦斯·安德森,剧情/喜剧/冒险,美国 / 德国 / 英国,2014,2014-03-28(美国),8.9,55.30%,35.80%,8.10%,0.70%,0.20%,1051651
蝴蝶效应,No.81,埃里克·布雷斯,剧情/科幻/悬疑/惊悚,美国 / 加拿大,2004,片长:,8.9,54.10%,37.20%,8.00%,0.60%,0.20%,1036297
禁闭岛,No.82,马丁·斯科塞斯,剧情/悬疑/惊悚,美国,2010,片长:,8.9,52.60%,39.00%,7.70%,0.50%,0.10%,1081067
致命魔术,No.83,克里斯托弗·诺兰,剧情/悬疑/惊悚,英国 / 美国,2006,片长:,8.9,54.50%,36.90%,7.90%,0.60%,0.20%,940175
心灵捕手,No.84,格斯·范·桑特,剧情,美国,1997,IMDb:,9,56.50%,35.60%,7.30%,0.50%,0.10%,793649
低俗小说,No.85,昆汀·塔伦蒂诺,剧情/喜剧/犯罪,美国,1994,片长:,8.9,55.70%,34.50%,8.70%,0.90%,0.30%,929774
超脱,No.86,托尼·凯耶,剧情,美国,2011,98分钟,9,59.30%,32.40%,7.40%,0.70%,0.20%,698036
哈利·波特与密室,No.87,克里斯·哥伦布,奇幻/冒险,英国 / 美国,2002,2002-11-15(英国/美国),8.9,54.30%,36.70%,8.50%,0.40%,0.10%,883301
摩登时代,No.88,查理·卓别林,剧情/喜剧/爱情,美国,1936,87分钟,9.3,71.10%,24.80%,3.80%,0.20%,0.10%,335700
喜剧之王,No.89,周星驰,剧情/喜剧/爱情,中国香港,1999,89分钟,8.8,52.20%,37.90%,9.10%,0.60%,0.10%,1064482
杀人回忆,No.90,奉俊昊,剧情/动作/悬疑/惊悚/犯罪,韩国,2003,2003-05-02(韩国),8.9,54.90%,36.90%,7.40%,0.60%,0.20%,809689
致命ID,No.91,詹姆斯·曼高德,剧情/悬疑/惊悚,美国,2003,90分钟,8.9,53.00%,38.40%,7.80%,0.60%,0.20%,919170
春光乍泄,No.92,王家卫,剧情/爱情/同性,中国香港 / 日本 / 韩国,1997,片长:,9,58.00%,33.50%,7.60%,0.60%,0.30%,693320
一一,No.93,杨德昌,剧情/爱情/家庭,中国台湾 / 日本,2000,2000-12-16(日本),9.1,66.20%,25.90%,6.70%,0.80%,0.40%,473362
海豚湾,No.94,路易·西霍尤斯,纪录片,美国,2009,又名:,9.3,71.40%,22.80%,4.90%,0.60%,0.40%,376713
美国往事,No.95,赛尔乔·莱昂内,剧情/犯罪,美国 / 意大利,1984,229分钟(导演剪辑版),9.1,65.50%,27.30%,6.10%,0.70%,0.40%,457742
