电影名称,导演,主演,电影类型,国家,上映年份,片长,评分,评论人数,全球票房
Full Metal Jacket,Stanley Kubrick,Matthew Modine / R. Lee Ermey / Vincent D'Onofrio,Drama/War,United Kingdom/United States,1987,1h 56m,8.2,827K,"$50,193,748"
Vertigo,Alfred Hitchcock,James Stewart / Kim Novak / Barbara Bel Geddes,Mystery/Romance/Thriller,United States,1958,2h 8m,8.2,448K,"$7,974,114"
Le fabuleux destin d'Amélie Poulain,Jean-Pierre Jeunet,Audrey Tautou / Mathieu Kassovitz / Rufus,Comedy/Romance,France/Germany,2001,2h 2m,8.3,822K,"$175,183,052"
Hababam Sinifi: Sinifta Kaldi,Ertem Egilmez,Münir Özkul / Tarik Akan / Kemal Sunal,Comedy,Turkey,1975,N/A,8.7,27K,N/A
Taare Zameen Par,Aamir Khan,Darsheel Safary / Aamir Khan / Tisca Chopra,Drama/Family,India,2007,2h 42m,8.3,221K,"$21,897,373"
Jodaeiye Nader az Simin,Asghar Farhadi,Payman Maadi / Leila Hatami / Sareh Bayat,Drama,Iran/France/Australia,2011,2h 3m,8.3,271K,"$22,926,076"
To Kill a Mockingbird,Robert Mulligan,Gregory Peck / John Megna / Frank Overton,Crime/Drama,United States,1962,2h 9m,8.3,345K,"$602,810"
Die Hard,John McTiernan,Bruce Willis / Alan Rickman / Bonnie Bedelia,Action/Thriller,United States,1988,2h 12m,8.2,995K,"$143,651,650"
A Clockwork Orange,Stanley Kubrick,Malcolm McDowell / Patrick Magee / Michael Bates,Crime/Sci-Fi,United Kingdom/United States,1971,2h 16m,8.2,916K,"$27,034,174"
Indiana Jones and the Last Crusade,Steven Spielberg,Harrison Ford / Sean Connery / Alison Doody,Action/Adventure,United States/Italy/Spain/United Kingdom/Jordan,1989,2h 7m,8.2,843K,"$474,171,806"
The Sting,George Roy Hill,Paul Newman / Robert Redford / Robert Shaw,Comedy/Crime/Drama,United States,1973,2h 9m,8.2,292K,"$156,000,000"
Oppenheimer,Christopher Nolan,Cillian Murphy / Emily Blunt / Matt Damon,Biography/Drama/History,United States/United Kingdom,2023,3h,8.3,909K,"$975,811,333"
Metropolis,Fritz Lang,Brigitte Helm / Alfred Abel / Gustav Fröhlich,Drama/Sci-Fi,Germany,1927,2h 33m,8.3,196K,"$1,351,009"
Snatch,Guy Ritchie,Jason Statham / Brad Pitt / Stephen Graham,Comedy/Crime,United Kingdom/United States,2000,1h 44m,8.2,951K,"$83,558,617"
1917,Sam Mendes,Dean-Charles Chapman / George MacKay / Daniel Mays,Action/Drama/War,United Kingdom/United States/India/Spain/Canada,2019,1h 59m,8.2,735K,"$446,064,352"
L.A. Confidential,Curtis Hanson,Kevin Spacey / Russell Crowe / Guy Pearce,Crime/Drama/Mystery,United States,1997,2h 18m,8.2,644K,"$126,216,940"
Ladri di biciclette,Vittorio De Sica,Lamberto Maggiorani / Enzo Staiola / Lianella Carell,Drama,Italy,1948,1h 29m,8.2,187K,"$451,643"
Der Untergang,Oliver Hirschbiegel,Bruno Ganz / Alexandra Maria Lara / Ulrich Matthes,Biography/Drama/History,Germany/Austria/Italy,2004,2h 36m,8.2,391K,"$92,181,574"
Dangal,Nitesh Tiwari,Aamir Khan / Sakshi Tanwar / Fatima Sana Shaikh,Action/Biography/Drama,India/United States,2016,2h 41m,8.3,229K,"$303,726,694"
The Wolf of Wall Street,Martin Scorsese,Leonardo DiCaprio / Jonah Hill / Margot Robbie,Biography/Comedy/Crime,United States,2013,3h,8.2,1.7M,"$407,039,432"
Hamilton,Thomas Kail,Lin-Manuel Miranda / Phillipa Soo / Leslie Odom Jr.,Biography/Drama/History,United States,2020,2h 40m,8.3,130K,N/A
Taxi Driver,Martin Scorsese,Robert De Niro / Jodie Foster / Cybill Shepherd,Crime/Drama,United States,1976,1h 54m,8.2,986K,"$28,737,520"
Green Book,Peter Farrelly,Viggo Mortensen / Mahershala Ali / Linda Cardellini,Biography/Comedy/Drama,China/Japan/United States,2018,2h 10m,8.2,643K,"$321,752,656"
Batman Begins,Christopher Nolan,Christian Bale / Michael Caine / Ken Watanabe,Action/Crime/Drama,United States/United Kingdom,2005,2h 20m,8.2,1.7M,"$375,406,308"
The Truman Show,Peter Weir,Jim Carrey / Ed Harris / Laura Linney,Comedy/Drama,United States,1998,1h 43m,8.2,1.3M,"$264,118,712"
Per qualche dollaro in più,Sergio Leone,Clint Eastwood / Lee Van Cleef / Gian Maria Volontè,Drama/Western,Italy/Spain/West Germany,1965,2h 12m,8.2,291K,"$15,000,000"
Judgment at Nuremberg,Stanley Kramer,Spencer Tracy / Burt Lancaster / Richard Widmark,Drama/War,United States,1961,2h 59m,8.3,93K,"$12,180"
Some Like It Hot,Billy Wilder,Marilyn Monroe / Tony Curtis / Jack Lemmon,Comedy/Music/Romance,United States,1959,2h 1m,8.2,297K,"$208,786"
Shutter Island,Martin Scorsese,Leonardo DiCaprio / Emily Mortimer / Mark Ruffalo,Drama/Mystery/Thriller,United States/Canada,2010,2h 18m,8.2,1.6M,"$294,978,537"
The Kid,Charles Chaplin,Charles Chaplin / Edna Purviance / Jackie Coogan,Comedy/Drama/Family,United States,1921,1h 8m,8.2,142K,"$44,115"
